year,level_1,level_2,level_3,level_4,value
2015,Divorced/Separated,Males,Total,Novena,0.4
2015,Divorced/Separated,Males,Total,Outram,0.4
2015,Divorced/Separated,Males,Total,Pasir Ris,1.3
2015,Divorced/Separated,Males,Total,Punggol,1.2
2015,Divorced/Separated,Males,Total,Queenstown,1.3
2015,Divorced/Separated,Males,Total,Sembawang,0.7
2015,Divorced/Separated,Males,Total,Sengkang,1.2
2015,Divorced/Separated,Males,Total,Serangoon,1
2015,Divorced/Separated,Males,Total,Tampines,2.8
2015,Divorced/Separated,Males,Total,Tanglin,0.2
2015,Divorced/Separated,Males,Total,Toa Payoh,2
2015,Divorced/Separated,Males,Total,Woodlands,2.2
2015,Divorced/Separated,Males,Total,Yishun,2.8
2015,Divorced/Separated,Males,Total,Others,0.5
2015,Divorced/Separated,Females,Total,Ang Mo Kio,4.4
2015,Divorced/Separated,Females,Total,Bedok,5.6
2015,Divorced/Separated,Females,Total,Bishan,1.9
2015,Divorced/Separated,Females,Total,Bukit Batok,2.8
2015,Divorced/Separated,Females,Total,Bukit Merah,4.5
2015,Divorced/Separated,Females,Total,Bukit Panjang,1.9
2015,Divorced/Separated,Females,Total,Bukit Timah,0.7
2015,Divorced/Separated,Females,Total,Choa Chu Kang,2.9
2015,Divorced/Separated,Females,Total,Clementi,1.5
2015,Divorced/Separated,Females,Total,Geylang,3
2015,Divorced/Separated,Females,Total,Hougang,4.4
2015,Divorced/Separated,Females,Total,Jurong East,1.4
2015,Divorced/Separated,Females,Total,Jurong West,4.7
2015,Divorced/Separated,Females,Total,Kallang,2.4
2015,Divorced/Separated,Females,Total,Marine Parade,1.3
2015,Divorced/Separated,Females,Total,Novena,0.8
2015,Divorced/Separated,Females,Total,Outram,0.6
2015,Divorced/Separated,Females,Total,Pasir Ris,2.3
2015,Divorced/Separated,Females,Total,Punggol,2.3
2015,Divorced/Separated,Females,Total,Queenstown,2.8
2015,Divorced/Separated,Females,Total,Sembawang,1.4
2015,Divorced/Separated,Females,Total,Sengkang,4.4
2015,Divorced/Separated,Females,Total,Serangoon,2.5
2015,Divorced/Separated,Females,Total,Tampines,5.4
2015,Divorced/Separated,Females,Total,Tanglin,0.3
2015,Divorced/Separated,Females,Total,Toa Payoh,3.2
2015,Divorced/Separated,Females,Total,Woodlands,5.5
2015,Divorced/Separated,Females,Total,Yishun,5.6
2015,Divorced/Separated,Females,Total,Others,0.6
